iter	Passed	Remaining
0	223	22089
1	334	16370
2	450	14563
3	518	12444
4	585	11117
5	650	10184
6	728	9684
7	815	9383
8	909	9197
9	980	8828
10	1045	8458
11	1112	8159
12	1175	7869
13	1249	7676
14	1306	7405
15	1375	7221
16	1442	7041
17	1487	6777
18	1543	6580
19	1599	6399
20	1675	6301
21	1749	6203
22	1825	6110
23	1900	6017
24	1974	5924
25	2034	5789
26	2113	5713
27	2185	5619
28	2226	5452
29	2281	5323
30	2337	5203
31	2402	5105
32	2458	4990
33	2522	4897
34	2587	4804
35	2658	4726
36	2736	4659
37	2791	4554
38	2868	4486
39	2924	4387
40	3002	4320
41	3077	4249
42	3152	4178
43	3211	4087
44	3289	4020
45	3360	3945
46	3433	3872
47	3504	3796
48	3570	3716
49	3639	3639
50	3711	3565
51	3784	3493
52	3856	3419
53	3909	3330
54	3989	3263
55	4056	3187
56	4129	3115
57	4206	3046
58	4276	2971
59	4344	2896
60	4419	2825
61	4485	2749
62	4554	2674
63	4621	2599
64	4694	2527
65	4760	2452
66	4836	2382
67	4900	2306
68	4974	2235
69	5042	2160
70	5111	2087
71	5177	2013
72	5252	1942
73	5332	1873
74	5394	1798
75	5464	1725
76	5529	1651
77	5598	1579
78	5666	1506
79	5733	1433
80	5791	1358
81	5859	1286
82	5927	1214
83	5989	1140
84	6049	1067
85	6114	995
86	6177	923
87	6234	850
88	6301	778
89	6378	708
90	6465	639
91	6533	568
92	6615	497
93	6682	426
94	6748	355
95	6801	283
96	6869	212
97	6927	141
98	6992	70
99	7060	0
